date,platform,text,sentiment
1456195957459,google,"(Translated by Google) Love park
A delicious place to read a book
Without being robbed or shot
It would be nice if the liberty bell stood beside him

(Original)
Love park
Um lugar delicioso pra ler um livro
Sem ser roubado ou sem levar um tiro
Seria legal se o sino da liberdade ficasse ao lado dele",positive
1457637445000,google,"Smaller than I thought, but awesome sight",positive
1457907348109,google,One of the most iconic things about Philadelphia. For now it has been relocated but will be back in Love Park by spring 2016.,positive
1459438385950,google,"(Translated by Google) A monument a bit silly, also the night area is a bit dangerous.

(Original)
Un monumento un poco tontorrón, además la zona de noche es un poco peligrosa.",negative
1460139019280,google,"Going to Love Park, Arch St, Philadelphia, PA 19102 was nice on a walk around center city Philly. Quite a few locals trying to ask you to pay them to take your photo with your camera. Not ideal if you ask me I declined.",positive
1460075303720,google,So touristy but a definite must go in Philadelphia. Great sign for people to take your picture. Just use caution who you ask to take your photo as there have been instances of people running off with the camera.,positive
1460685621565,google,"Quite touristy, but touristy for a reason. A must for any visitors to Philadelphia.",positive
1462680566378,google,Quite possibly the greatest  statue I've ever seen in my entire life,positive
1463091731009,google,"The sculpture is tiny and forgettable. So walk past it and look at absolutely anything else. The area is beautiful, just not this statue.",negative
1463444709391,google,do you have to like pay to see this or is this thing just in the street?,neutral
1466945193811,google,The most touristy and iconic photo of Philly on the Parkway. Statue has been relocated diagonal from the park at Dilworth Park until the renovations of Love Park are complete.,neutral
1468592769726,google,A great place to meet someone.  Love Sculpture has been moved to Dilworth Plaza temporarily.,positive
1468807505114,google,"One of the few LOVE sculptures in the world, but the view around it at the time wasn't good due to some apparent construction work.",negative
1468865280358,google,Strike a heart shape pose in front of it with the one you love.,positive
1469654361351,google,The heart of the city.,positive
1469969172605,google,very beautiful place,positive
1470152403559,google,Beautiful sculpture.,positive
1470496155526,google,romantic spot,positive
1470580160503,google,I must say I thought it'd be bigger but it was still nice.,positive
1472475337691,google,"(Translated by Google) In restoration when we went there in August 2016. So nothing to see. No problem, we saw the same in NY ...

(Original)
En restauration quand nous y sommes allé en aout 2016. Du coup rien à voir. Pas grave, on a vu la même à NY...",neutral
1473818008365,google,"(Translated by Google) It didn't catch the rain!

(Original)
下雨沒拍到！",negative
1474897728081,google,Found it to be hyped.,negative
1476188860351,google,Great an beautiful place to go,positive
1476286799357,google,Nice little park and sculpture but lots of people in the area pestering you.,negative
1477878486305,google,"(Translated by Google) There are homeless people and the monument is not so big

(Original)
Hay indigentes y el monumento no es tan grande",negative
1478000344237,google,Such an amazing spot to take your family from out of town. We got way too many pictures and it's pretty easy to spot from a car.,positive
1479159655858,google,Lots of people,neutral
1480298373265,google,Very classic and timeless.  Iconic,positive
1482184012660,google,"(Translated by Google) the most famous park of love with the equally famous sculpture ""LOVE""

(Original)
najsłynniejszy park miłości z równie słynną rzeźbą ""LOVE""",positive
1483597919601,google,Currently closed for renovation. Find the sign diagonally across at Dilworth Park (right by the City Hall).,neutral
1485228977322,google,THE place to get a photo in Philly.  Currently moved across the street due to reconstruction of the park.,positive
1485791535183,google,We visited it when it was behind the city hall! Definitely a great thing to do when visiting Philly.,positive
1487731536180,google,"So touristy it hurts, but it's iconic",neutral
1487767023571,google,Peak Philly,positive
1488012945298,google,Ok it didn't tell that they were doing renovations on it.,negative
1488815847091,google,perfect spot for couples,positive
