date,platform,text,sentiment
1527783603576,google,The new Love Park is beautiful. Walking through there a group was setting up for a fundraising function and it really looked nice. The jumping fountain as I call it...was illuminated with different colors and looked cool during  the day... I can just imagine at night. Folks were enjoying playing ping pong on the new public tables and others were hanging out on the wall enjoying the warm weather.,positive
1527796636180,google,Don't feel much love in the Love park anymore. It's all concrete!,negative
1527779304433,google,It's getting better,positive
1527814982645,google,The newly-designed park is a refreshing update that compliments the iconic LOVE statue and a fountain that's bound to be popular during the balmy days of summer.,positive
1527870771687,google,Lovely place in the center of the city sourrounded by beautiful buildings of vintage architecture & modern architecture..,positive
1527818754931,google,Still felt the same Brotherly Love. Such a great Rennovation Project and Grand Re opening,positive
1527848981490,google,Love to come here,positive
1527814821450,google,😍😎,positive
1527905730849,google,"Nice on a warm day. Ping pong tables were set up with paddles and balls, amazingly.",positive
1527973260944,google,I love it,positive
1528064769437,google,Recently reopened this park is a popular Philadelphia landmark.  They announced that they will be prepared to host major holiday events this year.  There will also be line dancing.,positive
1528061134453,google,"Nice place to visit...and take
pics too!!",positive
1528054234765,google,Great place to have a coffee.,positive
1528039070529,google,Not quite what I expected. Went to Parkside beef and ale while there so that made up for it.,positive
1528054617142,google,Awesome place to visit 👌🏽,positive
1527998088115,google,Nice atmosphere.,positive
1527989573232,google,It's not all that!,negative
1527994984799,google,A must visit place in philly,positive
1528132775138,google,"New architecture is rather uninviting, but it grows on you. It's here to stay, so embrace it. Love it.",negative
1528135924836,google,"K thought that it's bigger, but it's still nice.",positive
1528116577446,google,Calm and quiet,positive
1528137349539,google,Very nice,positive
1528190960647,google,"Great place, love is in the air...literally!",positive
1528210596262,google,"Renovations look great. Super open space, colored fountain, ping pong and the most iconic statue in Philly!",positive
1528240951448,google,Philadelphia has really come a long way since I went to school in the area 40 years ago. Love park has just recently been renovated and it is laid out beautifully.,positive
1528231103155,google,Nice place to visit if you have the time,positive
1528191595190,google,Philly must see photo op. If you're in town around Christmas make sure to check out the Christmas village event.,positive
1528214410786,google,Lovely open space,positive
1528219686454,google,"(Translated by Google) I loved!

(Original)
Me encantó!",positive
1528276242585,google,This is a great place created by the city of Philadelphia near City Hall. My wife and I enjoyed it. The kids loved it. You can play ball but careful with the streets nearby. Watch the kids!,positive
1528294526263,google,Clean,positive
1528298634164,google,"(Translated by Google) Cozy, there is a place to sit, there is a pedestrian fountain

(Original)
Уютно, есть, где посидеть, есть пешеходный фонтан",positive
1528347216384,google,Memories are always in the heart,positive
1528342635744,google,"(Translated by Google) Very Beautiful place to recreate with the whole Family, in the center of the City of Philly.🏞⛲🌆

(Original)
Muy Hermoso lugar para recrearse con toda la Familia, en el centro de la Ciudad de Philly.🏞⛲🌆",positive
1528475885513,google,Cool ping-pong addition.,positive
1528418703849,google,No longer a destination.  A piece of Philadelphia charm has been decimated.,negative
1528554412269,google,"Nice area to sit and have a snack, and people watch.  They have replaced the old fountain with a more kid friendly version.",positive
1528579218895,google,Ping pong table and live entertainment folks having a good time the love monument...awesome!!!!!!,positive
1528512328963,google,Clean spacious wonderful atmosphere,positive
1528576157263,google,Decent place,positive
1528578081130,google,Very disappointed in the new design,negative
1528583034746,google,"(Translated by Google) The center of Philadelphia, an excellent starting point for exploring the city.

(Original)
Il centro di Philadelphia, ottimo punto di partenza per esplorare la città.",positive
